product_category_name_english,orders,products_sold,revenue,avg_price
health_beauty,8836,9670,1258681.34,130.16353050672183
watches_gifts,5624,5991,1205005.68,201.13598397596394
bed_bath_table,9417,11115,1036988.68,93.29632748538012
sports_leisure,7720,8641,988048.97,114.34428538363615
computers_accessories,6689,7827,911954.32,116.51390315574294
furniture_decor,6449,8334,729762.49,87.56449364050876
cool_stuff,3632,3796,635290.85,167.357968914647
housewares,5884,6964,632248.66,90.78814761631247
auto,3897,4235,592720.11,139.9575230224321
garden_tools,3518,4347,485256.46,111.63019553715206
toys,3886,4117,483946.6,117.54836045664318
baby,2885,3065,411764.89,134.34417292006526
perfumery,3162,3419,399124.87,116.73731207955542
telephony,4199,4545,323667.52999999997,71.21397799779977
office_furniture,1273,1691,273960.7,162.0110585452395
stationery,2311,2517,230943.23,91.75336909018674
computers,181,203,222963.13,1098.3405418719212
pet_shop,1710,1947,214315.41,110.0746841294299
musical_instruments,628,680,191498.88,281.616
small_appliances,630,679,190648.58,280.7784683357879
electronics,2550,2767,160246.74,57.913530899891576
consoles_games,1062,1137,157465.22,138.49183817062445
fashion_bags_accessories,1864,2031,152823.54,75.24546528803546
construction_tools_construction,748,929,144677.59,155.7347578040904
luggage_accessories,1034,1092,140429.98,128.5988827838828
home_appliances_2,234,238,113317.74,476.1249579831933
home_construction,490,604,83088.12,137.56311258278146
home_appliances,764,771,80171.53,103.98382619974059
agro_industry_and_commerce,182,212,72530.47,342.12485849056606
furniture_living_room,422,503,68916.56,137.0110536779324
fixed_telephony,217,264,59583.0,225.6931818181818
home_confort,397,434,58572.04,134.95861751152074
air_conditioning,253,297,55024.96,185.26922558922558
audio,350,364,50688.5,139.25412087912088
small_appliances_home_oven_and_coffee,75,76,47445.71,624.2856578947368
books_general_interest,512,553,46856.88,84.73215189873417
kitchen_dining_laundry_garden_furniture,248,281,46328.37,164.8696441281139
construction_tools_lights,244,304,41080.0,135.1315789473684
construction_tools_safety,167,194,40544.52,208.9923711340206
industry_commerce_and_business,235,268,39669.61,148.0209328358209
food,450,510,29393.41,57.63413725490196
market_place,280,311,28378.47,91.2490996784566
costruction_tools_garden,194,238,25715.89,108.04995798319328
art,202,209,24202.64,115.8021052631579
fashion_shoes,240,262,23562.77,89.93423664122137
drinks,297,379,22428.7,59.178627968337736
signaling_and_security,140,199,21509.23,108.08658291457286
furniture_bedroom,95,109,20028.78,183.75027522935778
books_technical,260,267,19096.06,71.52082397003745
costruction_tools_tools,97,103,15903.95,154.40728155339806
food_drink,227,278,15179.48,54.602446043165465
fashion_male_clothing,112,132,10797.82,81.80166666666666
fashion_underwear_beach,121,131,9541.55,72.83625954198473
christmas_supplies,128,153,8800.82,57.52169934640523
tablets_printing_image,79,83,7528.41,90.70373493975903
cine_photo,65,72,6933.46,96.29805555555555
music,38,38,6034.35,158.79868421052632
dvds_blu_ray,59,64,5999.39,93.74046875
books_imported,53,60,4639.85,77.33083333333335
party_supplies,39,43,4485.18,104.30651162790699
furniture_mattress_and_upholstery,38,38,4368.08,114.94947368421053
fashio_female_clothing,39,48,2803.64,58.409166666666664
fashion_sport,27,30,2119.51,70.65033333333334
la_cuisine,13,14,2054.99,146.785
arts_and_craftmanship,23,24,1814.01,75.58375
diapers_and_hygiene,27,39,1567.59,40.19461538461538
flowers,29,33,1110.04,33.63757575757575
home_comfort_2,24,30,760.27,25.342333333333332
cds_dvds_musicals,12,14,730.0,52.142857142857146
fashion_childrens_clothes,8,8,569.85,71.23125
security_and_services,2,2,283.28999999999996,141.64499999999998
