purchase_month,total_orders,total_revenue,AOV
2016-09,4,252.24,63.06
2016-10,324,59090.48,182.38
2016-12,1,19.62,19.62
2017-01,800,138488.04,173.11
2017-02,1780,291908.01,163.99
2017-03,2682,449863.6,167.73
2017-04,2404,417788.03,173.79
2017-05,3700,592918.82,160.25
2017-06,3245,511276.38,157.56
2017-07,4026,592382.92,147.14
2017-08,4331,674396.32,155.71
2017-09,4285,727762.45,169.84
2017-10,4631,779677.88,168.36
2017-11,7544,1194882.8,158.39
2017-12,5673,878401.48,154.84
2018-01,7269,1115004.18,153.39
2018-02,6728,992463.34,147.51
2018-03,7211,1159652.12,160.82
2018-04,6939,1160785.48,167.28
2018-05,6873,1153982.15,167.9
2018-06,6167,1023880.5,166.03
2018-07,6292,1066540.75,169.51
2018-08,6512,1022425.32,157.01
2018-09,16,4439.54,277.47
2018-10,4,589.6700000000001,147.42
